date,slot,model,forecast_MW
2015-01-04,0,no_weather,6155.6415
2015-01-04,1,no_weather,6060.6882
2015-01-04,2,no_weather,5551.6241
2015-01-04,3,no_weather,5425.4032
2015-01-04,4,no_weather,5206.9378
2015-01-04,5,no_weather,5017.4114
2015-01-04,6,no_weather,4971.2785
2015-01-04,7,no_weather,4736.1425
2015-01-04,8,no_weather,4701.7210
2015-01-04,9,no_weather,4606.9310
2015-01-04,10,no_weather,4552.1684
2015-01-04,11,no_weather,4499.5653
2015-01-04,12,no_weather,4452.6140
2015-01-04,13,no_weather,4425.5726
2015-01-04,14,no_weather,4425.5726
2015-01-04,15,no_weather,4380.0779
2015-01-04,16,no_weather,4365.5319
2015-01-04,17,no_weather,4365.5319
2015-01-04,18,no_weather,4337.2910
2015-01-04,19,no_weather,4277.6987
2015-01-04,20,no_weather,4293.6248
2015-01-04,21,no_weather,4293.6248
2015-01-04,22,no_weather,4365.5319
2015-01-04,23,no_weather,4380.0779
2015-01-04,24,no_weather,4425.5726
2015-01-04,25,no_weather,4447.8779
2015-01-04,26,no_weather,4505.3840
2015-01-04,27,no_weather,4621.6440
2015-01-04,28,no_weather,4651.7787
2015-01-04,29,no_weather,4890.4832
2015-01-04,30,no_weather,4963.0250
2015-01-04,31,no_weather,5230.6919
2015-01-04,32,no_weather,5603.1996
2015-01-04,33,no_weather,6408.1665
2015-01-04,34,no_weather,6519.0182
2015-01-04,35,no_weather,6726.1975
2015-01-04,36,no_weather,6820.4179
2015-01-04,37,no_weather,7045.0848
2015-01-04,38,no_weather,7123.7979
2015-01-04,39,no_weather,7374.0152
2015-01-04,40,no_weather,7591.4985
2015-01-04,41,no_weather,7636.8472
2015-01-04,42,no_weather,7662.2137
2015-01-04,43,no_weather,7715.9028
2015-01-04,44,no_weather,7801.8971
2015-01-04,45,no_weather,7843.1309
2015-01-04,46,no_weather,7884.3089
2015-01-04,47,no_weather,7808.0578
2015-01-04,48,no_weather,7476.0942
2015-01-04,49,no_weather,6991.8395
2015-01-04,50,no_weather,6936.8723
2015-01-04,51,no_weather,6891.4052
2015-01-04,52,no_weather,6882.9879
2015-01-04,53,no_weather,6895.7516
2015-01-04,54,no_weather,6932.6100
2015-01-04,55,no_weather,7092.8967
2015-01-04,56,no_weather,7032.4982
2015-01-04,57,no_weather,7092.8967
2015-01-04,58,no_weather,7104.9143
2015-01-04,59,no_weather,6961.4335
2015-01-04,60,no_weather,6994.0426
2015-01-04,61,no_weather,7042.2413
2015-01-04,62,no_weather,7124.7389
2015-01-04,63,no_weather,7236.9959
2015-01-04,64,no_weather,7349.8768
2015-01-04,65,no_weather,7438.0459
2015-01-04,66,no_weather,7499.3543
2015-01-04,67,no_weather,7645.4116
2015-01-04,68,no_weather,7792.8361
2015-01-04,69,no_weather,7866.5012
2015-01-04,70,no_weather,7898.0304
2015-01-04,71,no_weather,7923.2476
2015-01-04,72,no_weather,8118.3274
2015-01-04,73,no_weather,8283.7853
2015-01-04,74,no_weather,8293.8395
2015-01-04,75,no_weather,8283.7853
2015-01-04,76,no_weather,8222.9877
2015-01-04,77,no_weather,8222.9877
2015-01-04,78,no_weather,8090.3570
2015-01-04,79,no_weather,8063.1306
2015-01-04,80,no_weather,7948.3316
2015-01-04,81,no_weather,7937.8714
2015-01-04,82,no_weather,7937.8714
2015-01-04,83,no_weather,8021.6399
2015-01-04,84,no_weather,7922.6582
2015-01-04,85,no_weather,7924.5884
2015-01-04,86,no_weather,7920.0109
2015-01-04,87,no_weather,7910.3404
2015-01-04,88,no_weather,7789.6916
2015-01-04,89,no_weather,7716.9796
2015-01-04,90,no_weather,7508.7894
2015-01-04,91,no_weather,7090.8254
2015-01-04,92,no_weather,6842.4687
2015-01-04,93,no_weather,6664.7450
2015-01-04,94,no_weather,6408.5082
2015-01-04,95,no_weather,6038.8479
2015-01-05,0,no_weather,5801.7674
2015-01-05,1,no_weather,5454.1170
2015-01-05,2,no_weather,5350.6714
2015-01-05,3,no_weather,5114.3362
2015-01-05,4,no_weather,5093.8564
2015-01-05,5,no_weather,4962.0390
2015-01-05,6,no_weather,4799.1409
2015-01-05,7,no_weather,4642.0592
2015-01-05,8,no_weather,4542.3632
2015-01-05,9,no_weather,4522.9059
2015-01-05,10,no_weather,4506.6947
2015-01-05,11,no_weather,4415.8571
2015-01-05,12,no_weather,4399.9310
2015-01-05,13,no_weather,4345.6221
2015-01-05,14,no_weather,4345.6221
2015-01-05,15,no_weather,4351.6637
2015-01-05,16,no_weather,4348.4554
2015-01-05,17,no_weather,4257.6654
2015-01-05,18,no_weather,4348.4554
2015-01-05,19,no_weather,4351.6637
2015-01-05,20,no_weather,4351.6637
2015-01-05,21,no_weather,4347.5350
2015-01-05,22,no_weather,4363.1856
2015-01-05,23,no_weather,4443.5971
2015-01-05,24,no_weather,4505.0180
2015-01-05,25,no_weather,4599.4060
2015-01-05,26,no_weather,4700.0144
2015-01-05,27,no_weather,4965.7594
2015-01-05,28,no_weather,5257.2351
2015-01-05,29,no_weather,5724.0330
2015-01-05,30,no_weather,6222.9825
2015-01-05,31,no_weather,6422.7925
2015-01-05,32,no_weather,6626.9464
2015-01-05,33,no_weather,7043.2882
2015-01-05,34,no_weather,7450.1729
2015-01-05,35,no_weather,7700.1517
2015-01-05,36,no_weather,7811.6938
2015-01-05,37,no_weather,7801.7892
2015-01-05,38,no_weather,7893.9967
2015-01-05,39,no_weather,7965.7490
2015-01-05,40,no_weather,8074.1290
2015-01-05,41,no_weather,8224.7111
2015-01-05,42,no_weather,8307.7258
2015-01-05,43,no_weather,8326.3765
2015-01-05,44,no_weather,8342.7765
2015-01-05,45,no_weather,8356.3124
2015-01-05,46,no_weather,8356.2136
2015-01-05,47,no_weather,8155.7248
2015-01-05,48,no_weather,7849.8128
2015-01-05,49,no_weather,7566.9325
2015-01-05,50,no_weather,7476.0635
2015-01-05,51,no_weather,7363.4009
2015-01-05,52,no_weather,7373.0235
2015-01-05,53,no_weather,7421.7420
2015-01-05,54,no_weather,7559.4068
2015-01-05,55,no_weather,7764.8449
2015-01-05,56,no_weather,7760.1184
2015-01-05,57,no_weather,7798.3411
2015-01-05,58,no_weather,7829.5420
2015-01-05,59,no_weather,7813.2810
2015-01-05,60,no_weather,7813.2810
2015-01-05,61,no_weather,7827.9435
2015-01-05,62,no_weather,7816.8858
