area,fold,origin,model,MAE_MW,RMSE_MW,MAPE_pct,Bias_MW
Area1,1,2014-01-05,no_weather,137.12935968678116,173.2781837710038,2.1963056507637977,16.085329360677566
Area1,1,2014-01-05,mean_temp_quad,196.5580524322324,242.48553052667327,3.1557234021024456,-161.70280596246718
Area1,1,2014-01-05,mean_temp_quad_hr,168.22723616267152,213.16821836478505,2.7548865731981373,-110.96230524200638
Area1,1,2014-01-05,all_weather,168.03638038687936,215.46734572261346,2.6606555551363034,-138.13562680268356
Area1,2,2014-02-02,no_weather,459.8642521034131,532.0870136611015,19.700958867318523,411.4056515163036
Area1,2,2014-02-02,mean_temp_quad,370.7413734647464,437.6369424048125,15.455091550162864,280.1931027073594
Area1,2,2014-02-02,mean_temp_quad_hr,311.0223859773925,369.66408207398393,13.425867237126008,218.65162127806957
Area1,2,2014-02-02,all_weather,295.0846656710676,356.0728819353917,12.797786046318741,198.04326508207717
Area1,3,2014-03-02,no_weather,234.90723250657615,287.4148073767588,3.6459728487957435,-114.52840189888131
Area1,3,2014-03-02,mean_temp_quad,227.35004625855657,277.1761935715937,3.505992241308156,-106.00626707760841
Area1,3,2014-03-02,mean_temp_quad_hr,249.0646112239011,296.7166439480086,3.9291700913285363,-115.02247802498952
Area1,3,2014-03-02,all_weather,258.6953758253361,304.9968131664068,4.0326912942883375,-127.8438260256805
Area1,4,2014-03-30,no_weather,461.9538142626104,749.0089755013704,9.129895684385298,35.00931620749048
Area1,4,2014-03-30,mean_temp_quad,524.1477114372263,831.407170183269,9.738052076391607,-49.990093742176214
Area1,4,2014-03-30,mean_temp_quad_hr,444.20009912944244,717.8274422062809,8.489064082254187,-12.640123371740485
Area1,4,2014-03-30,all_weather,524.9501661313251,981.4211387306591,11.433213813109333,237.65936319161952
Area1,5,2014-04-27,no_weather,493.4199183465648,735.7646665086965,11.40506163218326,246.49504009154867
Area1,5,2014-04-27,mean_temp_quad,617.9223160340158,857.5484519864272,13.94743362889716,347.18867881833074
Area1,5,2014-04-27,mean_temp_quad_hr,571.982300849253,818.895881057212,13.101772968184719,276.6867809351773
Area1,5,2014-04-27,all_weather,683.5502567254734,931.3750643174824,15.004006556703086,390.09614606145
Area1,6,2014-05-25,no_weather,668.5708014310698,722.4428613937065,7.994641962882526,-662.824483420058
Area1,6,2014-05-25,mean_temp_quad,464.87090384041863,536.5585402302806,5.435933890007972,-406.6582576015419
Area1,6,2014-05-25,mean_temp_quad_hr,450.32829200946355,524.5957489097289,5.248768193626336,-396.9609302990654
Area1,6,2014-05-25,all_weather,468.7183834814673,545.7522798406161,5.4139429277278435,-424.30621967158174
Area1,7,2014-06-22,no_weather,559.3308005114019,665.4745583842748,6.135904113292168,-462.54418498192433
Area1,7,2014-06-22,mean_temp_quad,537.3647220637031,713.6930260771302,5.9789183345199275,-480.21803766195546
