date,slot,method,forecast_MW
2015-01-04,0,lag7,5992.6321
2015-01-04,1,lag7,5841.9690
2015-01-04,2,lag7,5654.0747
2015-01-04,3,lag7,5506.2766
2015-01-04,4,lag7,5325.6719
2015-01-04,5,lag7,5172.5611
2015-01-04,6,lag7,5038.6225
2015-01-04,7,lag7,4931.1898
2015-01-04,8,lag7,4832.8578
2015-01-04,9,lag7,4743.0434
2015-01-04,10,lag7,4666.7629
2015-01-04,11,lag7,4613.7108
2015-01-04,12,lag7,4560.3883
2015-01-04,13,lag7,4486.3978
2015-01-04,14,lag7,4456.7631
2015-01-04,15,lag7,4421.1919
2015-01-04,16,lag7,4385.0371
2015-01-04,17,lag7,4390.1495
2015-01-04,18,lag7,4377.1914
2015-01-04,19,lag7,4359.1763
2015-01-04,20,lag7,4356.9450
2015-01-04,21,lag7,4370.5866
2015-01-04,22,lag7,4399.6932
2015-01-04,23,lag7,4423.8835
2015-01-04,24,lag7,4451.2083
2015-01-04,25,lag7,4539.7303
2015-01-04,26,lag7,4602.5341
2015-01-04,27,lag7,4703.4207
2015-01-04,28,lag7,4795.0970
2015-01-04,29,lag7,4986.4840
2015-01-04,30,lag7,5194.0374
2015-01-04,31,lag7,5375.4857
2015-01-04,32,lag7,5718.3448
2015-01-04,33,lag7,6188.4897
2015-01-04,34,lag7,6426.5826
2015-01-04,35,lag7,6691.8236
2015-01-04,36,lag7,6838.1874
2015-01-04,37,lag7,7066.2701
2015-01-04,38,lag7,7169.5586
2015-01-04,39,lag7,7323.5484
2015-01-04,40,lag7,7484.8450
2015-01-04,41,lag7,7573.6227
2015-01-04,42,lag7,7619.0815
2015-01-04,43,lag7,7703.5398
2015-01-04,44,lag7,7741.4370
2015-01-04,45,lag7,7856.0628
2015-01-04,46,lag7,7868.6026
2015-01-04,47,lag7,7739.7812
2015-01-04,48,lag7,7400.8832
2015-01-04,49,lag7,7020.2211
2015-01-04,50,lag7,6893.5040
2015-01-04,51,lag7,6849.5812
2015-01-04,52,lag7,6782.9822
2015-01-04,53,lag7,6829.2841
2015-01-04,54,lag7,6925.4306
2015-01-04,55,lag7,7095.2957
2015-01-04,56,lag7,7076.5848
2015-01-04,57,lag7,7114.6110
2015-01-04,58,lag7,7157.0622
2015-01-04,59,lag7,7012.0823
